Epoch [1/100], time: 2025-10-12 12:16:39 
Loss: 5.2742, Accuracy: 0.84%
Epoch [2/100], time: 2025-10-12 12:17:50 
Loss: 5.1376, Accuracy: 1.81%
Epoch [3/100], time: 2025-10-12 12:19:02 
Loss: 4.9972, Accuracy: 2.46%
Epoch [4/100], time: 2025-10-12 12:20:14 
Loss: 4.8430, Accuracy: 3.10%
Epoch [5/100], time: 2025-10-12 12:21:26 
Loss: 4.7228, Accuracy: 3.66%
Epoch [6/100], time: 2025-10-12 12:22:38 
Loss: 4.5917, Accuracy: 4.50%
Epoch [7/100], time: 2025-10-12 12:23:50 
Loss: 4.4735, Accuracy: 5.65%
Epoch [8/100], time: 2025-10-12 12:25:02 
Loss: 4.3747, Accuracy: 6.20%
Epoch [9/100], time: 2025-10-12 12:26:14 
Loss: 4.2735, Accuracy: 7.17%
Epoch [10/100], time: 2025-10-12 12:27:26 
Loss: 4.2104, Accuracy: 7.99%
Epoch [11/100], time: 2025-10-12 12:28:38 
Loss: 4.0920, Accuracy: 8.92%
Epoch [12/100], time: 2025-10-12 12:29:49 
Loss: 4.0292, Accuracy: 10.05%
Epoch [13/100], time: 2025-10-12 12:31:01 
Loss: 3.9765, Accuracy: 10.62%
Epoch [14/100], time: 2025-10-12 12:32:13 
Loss: 3.8815, Accuracy: 11.96%
Epoch [15/100], time: 2025-10-12 12:33:25 
Loss: 3.7964, Accuracy: 12.78%
Epoch [16/100], time: 2025-10-12 12:34:37 
Loss: 3.7640, Accuracy: 12.84%
Epoch [17/100], time: 2025-10-12 12:35:49 
Loss: 3.6761, Accuracy: 14.42%
Epoch [18/100], time: 2025-10-12 12:37:01 
Loss: 3.6045, Accuracy: 15.30%
Epoch [19/100], time: 2025-10-12 12:38:13 
Loss: 3.5686, Accuracy: 16.01%
Epoch [20/100], time: 2025-10-12 12:39:24 
Loss: 3.5144, Accuracy: 16.44%
Epoch [21/100], time: 2025-10-12 12:40:36 
Loss: 3.4661, Accuracy: 17.62%
Epoch [22/100], time: 2025-10-12 12:41:48 
Loss: 3.4037, Accuracy: 18.45%
Epoch [23/100], time: 2025-10-12 12:43:00 
Loss: 3.3516, Accuracy: 19.93%
Epoch [24/100], time: 2025-10-12 12:44:12 
Loss: 3.2748, Accuracy: 20.89%
Epoch [25/100], time: 2025-10-12 12:45:24 
Loss: 3.2639, Accuracy: 21.16%
Epoch [26/100], time: 2025-10-12 12:46:36 
Loss: 3.2112, Accuracy: 22.54%
Epoch [27/100], time: 2025-10-12 12:47:48 
Loss: 3.1421, Accuracy: 23.58%
Epoch [28/100], time: 2025-10-12 12:49:00 
Loss: 3.1022, Accuracy: 23.91%
Epoch [29/100], time: 2025-10-12 12:50:11 
Loss: 3.0753, Accuracy: 24.36%
Epoch [30/100], time: 2025-10-12 12:51:23 
Loss: 3.0265, Accuracy: 25.80%
Epoch [31/100], time: 2025-10-12 12:52:35 
Loss: 2.9949, Accuracy: 26.21%
Epoch [32/100], time: 2025-10-12 12:53:47 
Loss: 2.9206, Accuracy: 27.59%
Epoch [33/100], time: 2025-10-12 12:54:59 
Loss: 2.9085, Accuracy: 28.25%
Epoch [34/100], time: 2025-10-12 12:56:11 
Loss: 2.8363, Accuracy: 29.74%
Epoch [35/100], time: 2025-10-12 12:57:23 
Loss: 2.8247, Accuracy: 30.17%
Epoch [36/100], time: 2025-10-12 12:58:35 
Loss: 2.7579, Accuracy: 31.74%
Epoch [37/100], time: 2025-10-12 12:59:47 
Loss: 2.7511, Accuracy: 31.68%
Epoch [38/100], time: 2025-10-12 13:00:59 
Loss: 2.7156, Accuracy: 32.25%
Epoch [39/100], time: 2025-10-12 13:02:11 
Loss: 2.6740, Accuracy: 33.38%
Epoch [40/100], time: 2025-10-12 13:03:23 
Loss: 2.6428, Accuracy: 33.98%
Epoch [41/100], time: 2025-10-12 13:04:35 
Loss: 2.6138, Accuracy: 34.40%
Epoch [42/100], time: 2025-10-12 13:05:47 
Loss: 2.5893, Accuracy: 34.80%
Epoch [43/100], time: 2025-10-12 13:06:59 
Loss: 2.5305, Accuracy: 35.73%
