Training log at 2025-10-12 13:13:20
Epoch [1/100], time: 2025-10-12 13:14:32 
Loss: 5.2959, Accuracy: 0.80%
Epoch [2/100], time: 2025-10-12 13:15:44 
Loss: 5.2046, Accuracy: 1.38%
Epoch [3/100], time: 2025-10-12 13:16:55 
Loss: 5.1157, Accuracy: 1.97%
Epoch [4/100], time: 2025-10-12 13:18:07 
Loss: 5.0232, Accuracy: 2.86%
Epoch [5/100], time: 2025-10-12 13:19:19 
Loss: 4.9311, Accuracy: 2.83%
Epoch [6/100], time: 2025-10-12 13:20:30 
Loss: 4.8143, Accuracy: 3.94%
Epoch [7/100], time: 2025-10-12 13:21:42 
Loss: 4.7348, Accuracy: 4.53%
Epoch [8/100], time: 2025-10-12 13:22:54 
Loss: 4.6315, Accuracy: 5.47%
Epoch [9/100], time: 2025-10-12 13:24:05 
Loss: 4.5441, Accuracy: 5.78%
Epoch [10/100], time: 2025-10-12 13:25:17 
Loss: 4.4520, Accuracy: 6.57%
Epoch [11/100], time: 2025-10-12 13:26:29 
Loss: 4.3757, Accuracy: 6.98%
Epoch [12/100], time: 2025-10-12 13:27:40 
Loss: 4.3060, Accuracy: 7.80%
Epoch [13/100], time: 2025-10-12 13:28:53 
Loss: 4.2146, Accuracy: 8.73%
Epoch [14/100], time: 2025-10-12 13:30:04 
Loss: 4.1495, Accuracy: 9.74%
Epoch [15/100], time: 2025-10-12 13:31:16 
Loss: 4.0931, Accuracy: 10.06%
Epoch [16/100], time: 2025-10-12 13:32:28 
Loss: 4.0335, Accuracy: 10.77%
Epoch [17/100], time: 2025-10-12 13:33:40 
Loss: 3.9605, Accuracy: 11.50%
Epoch [18/100], time: 2025-10-12 13:34:52 
Loss: 3.9007, Accuracy: 12.31%
Epoch [19/100], time: 2025-10-12 13:36:03 
Loss: 3.8353, Accuracy: 13.70%
Epoch [20/100], time: 2025-10-12 13:37:15 
Loss: 3.7724, Accuracy: 13.96%
Epoch [21/100], time: 2025-10-12 13:38:27 
Loss: 3.7408, Accuracy: 14.85%
Epoch [22/100], time: 2025-10-12 13:39:39 
Loss: 3.6790, Accuracy: 15.49%
Epoch [23/100], time: 2025-10-12 13:40:51 
Loss: 3.6475, Accuracy: 16.20%
Epoch [24/100], time: 2025-10-12 13:42:02 
Loss: 3.6047, Accuracy: 17.02%
Epoch [25/100], time: 2025-10-12 13:43:14 
Loss: 3.5451, Accuracy: 17.88%
Epoch [26/100], time: 2025-10-12 13:44:26 
Loss: 3.5126, Accuracy: 18.48%
Epoch [27/100], time: 2025-10-12 13:45:38 
Loss: 3.4651, Accuracy: 18.97%
Epoch [28/100], time: 2025-10-12 13:46:50 
Loss: 3.4065, Accuracy: 20.11%
Epoch [29/100], time: 2025-10-12 13:48:02 
Loss: 3.3699, Accuracy: 20.81%
Epoch [30/100], time: 2025-10-12 13:49:13 
Loss: 3.3403, Accuracy: 21.32%
Epoch [31/100], time: 2025-10-12 13:50:25 
Loss: 3.2844, Accuracy: 22.70%
Epoch [32/100], time: 2025-10-12 13:51:37 
Loss: 3.2227, Accuracy: 23.10%
Epoch [33/100], time: 2025-10-12 13:52:49 
Loss: 3.2161, Accuracy: 23.70%
Epoch [34/100], time: 2025-10-12 13:54:00 
Loss: 3.1589, Accuracy: 24.87%
Epoch [35/100], time: 2025-10-12 13:55:12 
Loss: 3.1103, Accuracy: 25.21%
Epoch [36/100], time: 2025-10-12 13:56:24 
Loss: 3.1104, Accuracy: 25.09%
Epoch [37/100], time: 2025-10-12 13:57:36 
Loss: 3.0777, Accuracy: 26.11%
Epoch [38/100], time: 2025-10-12 13:58:48 
Loss: 3.0277, Accuracy: 27.18%
Epoch [39/100], time: 2025-10-12 14:00:00 
Loss: 2.9834, Accuracy: 28.32%
Epoch [40/100], time: 2025-10-12 14:01:12 
Loss: 2.9444, Accuracy: 29.35%
Epoch [41/100], time: 2025-10-12 14:02:23 
Loss: 2.9188, Accuracy: 29.23%
Epoch [42/100], time: 2025-10-12 14:03:35 
Loss: 2.8973, Accuracy: 29.57%
Epoch [43/100], time: 2025-10-12 14:04:47 
Loss: 2.8432, Accuracy: 30.94%
Epoch [44/100], time: 2025-10-12 14:05:59 
Loss: 2.8126, Accuracy: 31.47%
Epoch [45/100], time: 2025-10-12 14:07:11 
Loss: 2.7882, Accuracy: 31.42%
Epoch [46/100], time: 2025-10-12 14:08:22 
Loss: 2.7620, Accuracy: 32.99%
Epoch [47/100], time: 2025-10-12 14:09:34 
Loss: 2.7370, Accuracy: 32.22%
Epoch [48/100], time: 2025-10-12 14:10:46 
Loss: 2.6965, Accuracy: 34.08%
Epoch [49/100], time: 2025-10-12 14:11:58 
Loss: 2.6661, Accuracy: 34.35%
Epoch [50/100], time: 2025-10-12 14:13:10 
Loss: 2.6544, Accuracy: 34.73%
Epoch [51/100], time: 2025-10-12 14:14:21 
Loss: 2.6213, Accuracy: 35.25%
Epoch [52/100], time: 2025-10-12 14:15:33 
Loss: 2.5655, Accuracy: 37.02%
Epoch [53/100], time: 2025-10-12 14:16:45 
Loss: 2.5615, Accuracy: 37.32%
Epoch [54/100], time: 2025-10-12 14:17:57 
Loss: 2.5366, Accuracy: 37.37%
Epoch [55/100], time: 2025-10-12 14:19:09 
Loss: 2.5313, Accuracy: 37.67%
Epoch [56/100], time: 2025-10-12 14:20:20 
Loss: 2.4851, Accuracy: 38.98%
Epoch [57/100], time: 2025-10-12 14:21:32 
Loss: 2.4935, Accuracy: 38.71%
Epoch [58/100], time: 2025-10-12 14:22:44 
Loss: 2.4404, Accuracy: 39.68%
Epoch [59/100], time: 2025-10-12 14:23:55 
Loss: 2.3980, Accuracy: 40.21%
Epoch [60/100], time: 2025-10-12 14:25:07 
Loss: 2.4191, Accuracy: 40.07%
Epoch [61/100], time: 2025-10-12 14:26:19 
